month,day,year,day_of_year,date,zone,type_of_site,visit site number,site,Latitude,Longitude,Elevation,Net_open,Net_close,Rain_time,Net_no,Temperature,Wind,Cloud,Bander_ID,Species,Band,Sex,Plumage,Estado reproductivo,Beak_length,Beak_depth,Beak_width,Tarsus,Wing,Mass,Pox_IUR,Pox_scale,Pox_size_lesion,Fecal,Narina,Slide,Swab,Blood,Plasma,Recaptured,Notes,Color band,territory,Hemoglobin,HEMATOCRIT,Exportar_sangre,Exportar_swab,check_number
10,24,2023,297,24-Oct-23,Puerto Ayora,arida,60,Barranco,-0.73862,-90.3017,0,6:31,9:00,0:00,4,,,GARUA,DL,FOR,SM2431,U,0,0,11.17,10.16,6.86,18.38,65,18.06,U,NA,NA,0,B,0,0,0,0,,,,,,,,,
10,24,2023,297,24-Oct-23,Puerto Ayora,arida,60,Barranco,-0.73862,-90.3017,0,6:31,9:00,0:00,4,,,GARUA,DL,FUL,B055501KLIUVATAUSTRIA,M,4,0,9.18,7.49,5.07,19.67,63,13.54,R,NA,NA,0,B,0,1,1,0,,,,,,,,,
10,24,2023,297,24-Oct-23,Puerto Ayora,arida,60,Barranco,-0.73862,-90.3017,0,6:31,9:00,0:00,4,,,GARUA,DL,FUL,SMA1741,U,0,0,8.86,6.47,5.23,17.85,64,13.19,U,NA,NA,0,A,0,0,0,0,,,,,,,,,
10,24,2023,297,24-Oct-23,Puerto Ayora,arida,60,Barranco,-0.73862,-90.3017,0,6:31,9:00,0:00,4,,,GARUA,DL,FOR,SM2432,U,0,0,13.41,12.33,8.24,20.46,74,24.76,R,NA,NA,0,B,0,0,0,0,,,,,,,,,
10,24,2023,297,24-Oct-23,Puerto Ayora,arida,60,Barranco,-0.73862,-90.3017,0,6:31,9:00,0:00,4,,,GARUA,DL,GAMO,SMC076,U,0,0,15.39,NA,NA,29.29,99,41.81,U,NA,NA,0,A,0,0,0,0,1,,,,,,,,
10,24,2023,297,24-Oct-23,Puerto Ayora,arida,60,Barranco,-0.73862,-90.3017,0,6:31,9:00,0:00,4,,,GARUA,DL,FOR,SM2433,M,5,0,13.11,13.59,8.54,22.28,76,25.84,R,NA,NA,0,A,0,1,1,0,,,,,,,,,
10,24,2023,297,24-Oct-23,Puerto Ayora,arida,60,Barranco,-0.73862,-90.3017,0,6:31,9:00,0:00,4,,,GARUA,DL,FUL,SMA1742,U,0,0,8.34,6.41,4.78,18.46,58,12.55,U,NA,NA,0,A,0,0,0,0,,,,,,,,,
10,24,2023,297,24-Oct-23,Puerto Ayora,arida,60,Barranco,-0.73862,-90.3017,0,6:31,9:00,0:00,4,,,GARUA,DL,FOR,SM2434,M,5,0,12.8,12.37,8.74,21.31,73,22.6,U,NA,NA,0,B,0,1,1,0,,,,,,,,,
10,24,2023,297,24-Oct-23,Puerto Ayora,arida,60,Barranco,-0.73862,-90.3017,0,6:31,9:00,0:00,4,,,GARUA,DL,CRA,SM2093,M,4,0,10.82,11.21,7.65,24.38,82,30.63,U,NA,NA,0,B,0,0,0,0,1,,,,,,,,
10,24,2023,297,24-Oct-23,Puerto Ayora,arida,60,Barranco,-0.73862,-90.3017,0,6:31,9:00,0:00,4,,,GARUA,DL,PAR,RHC105,M,1,0,7.68,6.81,4.74,19.26,59,11.86,U,NA,NA,0,C,0,1,1,0,,,,,,,,,
